1e-07	0.0000228845	0.0000228845
1e-06	0.0002371668	0.0002371666
1e-05	0.0025665329	0.0025665310
0.0001	0.0255366904	0.0255366711
0.0003	0.0769470977	0.0769470397
0.0006	0.1558383388	0.1558382230
0.001	0.2590228784	0.2590226853
0.003	0.7383917263	0.7383911471
0.006	1.4101063006	1.4101051422
0.01	2.1515305718	2.1515286410
0.03	3.5121366286	3.5121308362
0.06	3.8798030434	3.8797914584
0.1	3.9925026865	3.9924833780
0.3	4.4125326832	4.4124747539
0.6	4.5713709738	4.5712551042
1	4.6122617861	4.6120686458
3	5.3850721680	5.3844923816
6	5.3159702978	5.3148096249
10	5.3983659902	5.3964290810
30	5.3746045833	5.3687565266
60	5.4082767184	5.3964652770
100	5.3038082189	-0.3662147026
300	5.4079871947	-0.2643204816
600	5.3791991696	-0.2965146405
1000	5.4090027816	-0.2712138978
10000	5.4090669276	-0.3623168769
100000	5.4090669276	-0.8213361052
1000000	5.4090669276	-1.4294354207
