AFY;nitrogen;298.00;100000;0.166
AFY;nitrogen;298.00;1000000;1.400
AFY;nitrogen;298.00;100000000;7.694
AFY;nitrogen;298.00;1000000000;8.515
APC;nitrogen;298.00;10000000000;4.145
APC;nitrogen;298.00;1000000000000;4.148
APC;nitrogen;298.00;100;0.000
APC;nitrogen;298.00;1000;0.000
APC;nitrogen;298.00;10000;0.003
APC;nitrogen;298.00;100000;0.034
APC;nitrogen;298.00;1000000;0.316
APC;nitrogen;298.00;100000000;3.871
APC;nitrogen;298.00;1000000000;4.117
APD;nitrogen;298.00;10000000000;4.140
APD;nitrogen;298.00;1000000000000;4.143
APD;nitrogen;298.00;100;0.000
APD;nitrogen;298.00;1000;0.002
APD;nitrogen;298.00;10000;0.019
APD;nitrogen;298.00;100000;0.180
APD;nitrogen;298.00;1000000;1.446
APD;nitrogen;298.00;100000000;4.087
APD;nitrogen;298.00;1000000000;4.136
ASV;nitrogen;298.00;10000000000;2.943
ASV;nitrogen;298.00;1000000000000;3.290
ASV;nitrogen;298.00;100;0.000
ASV;nitrogen;298.00;1000;0.002
ASV;nitrogen;298.00;10000;0.021
ASV;nitrogen;298.00;100000;0.195
ASV;nitrogen;298.00;1000000;0.989
ASV;nitrogen;298.00;100000000;2.477
ASV;nitrogen;298.00;1000000000;2.791
ATN;nitrogen;298.00;10000000000;2.484
ATN;nitrogen;298.00;1000000000000;4.066
ATN;nitrogen;298.00;100;0.000
ATN;nitrogen;298.00;1000;0.003
ATN;nitrogen;298.00;10000;0.025
ATN;nitrogen;298.00;100000;0.239
ATN;nitrogen;298.00;1000000;1.181
ATN;nitrogen;298.00;100000000;2.027
ATN;nitrogen;298.00;1000000000;2.083
ATO;nitrogen;298.00;10000000000;1.883
ATO;nitrogen;298.00;1000000000000;2.414
ATO;nitrogen;298.00;100;0.000
ATO;nitrogen;298.00;1000;0.001
ATO;nitrogen;298.00;10000;0.015
ATO;nitrogen;298.00;100000;0.132
ATO;nitrogen;298.00;1000000;0.687
ATO;nitrogen;298.00;100000000;1.705
ATO;nitrogen;298.00;1000000000;1.818
ATS;nitrogen;298.00;10000000000;5.192
ATS;nitrogen;298.00;1000000000000;6.384
ATS;nitrogen;298.00;100;0.000
ATS;nitrogen;298.00;1000;0.001
ATS;nitrogen;298.00;10000;0.012
ATS;nitrogen;298.00;100000;0.116
ATS;nitrogen;298.00;1000000;0.835
ATS;nitrogen;298.00;100000000;3.247
ATS;nitrogen;298.00;1000000000;4.257
ATS;nitrogen;298.00;10000000000;5.733
ATS;nitrogen;298.00;1000000000000;7.287
ATS;nitrogen;298.00;100;0.000
ATS;nitrogen;298.00;1000;0.001
ATS;nitrogen;298.00;10000;0.012
ATS;nitrogen;298.00;100000;0.114
ATS;nitrogen;298.00;1000000;0.843
ATS;nitrogen;298.00;100000000;3.575
ATS;nitrogen;298.00;1000000000;4.781
ATT;nitrogen;298.00;10000000000;5.529
ATT;nitrogen;298.00;1000000000000;6.677
ATT;nitrogen;298.00;100;0.000
ATT;nitrogen;298.00;1000;0.003
ATT;nitrogen;298.00;10000;0.025
ATT;nitrogen;298.00;100000;0.237
ATT;nitrogen;298.00;1000000;1.407
ATT;nitrogen;298.00;100000000;3.883
ATT;nitrogen;298.00;1000000000;5.180
ATV;nitrogen;298.00;10000000000;2.751
ATV;nitrogen;298.00;1000000000000;2.757
ATV;nitrogen;298.00;100;0.000
ATV;nitrogen;298.00;1000;0.001
ATV;nitrogen;298.00;10000;0.011
ATV;nitrogen;298.00;100000;0.109
ATV;nitrogen;298.00;1000000;0.827
ATV;nitrogen;298.00;100000000;2.708
ATV;nitrogen;298.00;1000000000;2.738
AVL;nitrogen;298.00;10000000000;6.528
AVL;nitrogen;298.00;1000000000000;7.857
AVL;nitrogen;298.00;100;0.000
AVL;nitrogen;298.00;1000;0.003
AVL;nitrogen;298.00;10000;0.032
AVL;nitrogen;298.00;100000;0.292
AVL;nitrogen;298.00;1000000;1.437
AVL;nitrogen;298.00;100000000;3.916
AVL;nitrogen;298.00;1000000000;5.465
AWO;nitrogen;298.00;10000000000;2.762
AWO;nitrogen;298.00;1000000000000;2.792
AWO;nitrogen;298.00;100;0.000
